序号,题目（含完整选项）,答案
3,1986年，苏联乌克兰境内的切尔诺贝利核电站发生了核泄漏，此后几年，在该地区发现了一定数量的巨型老鼠。下列关于生物变异与进化的叙述，正确的是（　　） A. 该地区巨型老鼠的出现一定是基因突变所致 B. 若要判断该地区巨型老鼠是否发生了染色体变异，可以利用显微镜进行观察 C. 变异为生物进化提供了原材料，决定了生物进化的方向 D. 该地区发生的共同进化，只发生在具有竞争、捕食关系的生物之间,B /n【解析】基因突变是指基因中碱基对的增添、缺失或改变，其中某个碱基对的改变可能只会改变其中一个氨基酸但不会导致氨基酸序列发生改变（密码子的简并性）；某个碱基对的增添或缺失会导致突变位点之后的所有氨基酸序列发生改变。基因突变具有普遍性、随机性、不定向性、多害少利性、低频性等特点。 【详解】该地区巨型老鼠的出现可能是基因突变，也可能是染色体变异导致的，A错误；若要判断该地区巨型老鼠是否发生了染色体变异，可以利用显微镜进行观察，B正确；生物进化的方向由自然选择决定，C错误；共同进化发生在生物与生物之间，也可以是生物与环境之间，D错误。 【点睛】本题主要考查基因突变的相关知识，意在考查考生对所学知识的理解，把握知识间内在联系的能力。
4,下列关于人体和动植物生命活动调节的叙述，错误的是（　　） A. 下丘脑是人体体温调节等生命活动的调节中枢，是形成冷觉、热觉的部位 B. 人在炎热环境中主要通过神经调节来维持体温的相对稳定，主要途径是增加散热 C. 根的向地性和顶端优势现象都能说明植物生长素作用的两重性 D. 秋季，华北地区的杨树叶片中赤霉素的含量降低，脱落酸含量增多,A /n【解析】冷觉、热觉的形成部位在大脑皮层，A错误；人在炎热环境中主要通过神经调节来维持体温的相对稳定，主要途径是增加散热，B正确；根的向地性和顶端优势现象都能说明植物生长素作用的两重性，C正确；脱落酸能促进叶片脱落，秋季，华北地区的杨树叶片中赤霉素的含量降低，脱落酸含量增多，D正确。 【点睛】此题主要考查的是人体的体温调节和植物的激素调节的相关知识，意在考查学生对基础知识的理解掌握，难度适中。
5,下列实践活动中的相关措施或方法不科学的是（　　） A. 调查野外某些小动物种群密度时，可以采用样方法 B. 研究生物多样性的间接价值，可以从森林和草地对水土的保持作用等方面入手 C. 在油菜花期喷洒一定浓度的2，4-D溶液可防止连续阴雨天气造成的减产 D. 在农田中放养适量的青蛙和无毒蛇，可以达到防治害虫、维持生态平衡的目的,C /n【解析】1、一般植物和个体小、活动能力小的动物以及虫卵常用的是样方法，其步骤是确定调查对象→选取样方→计数→计算种群密度。活动能力大的动物常用标志重捕法，其步骤是确定调查对象→捕获并标志个体→重捕并计数→计算种群密度。 2、多样性的价值：（1）直接价值：对人类有食用、药用和工业原料等使用意义，以及有旅游观赏、科学研究和文学艺术创作等非实用意义的。（2）间接价值：对生态系统起重要调节作用的价值（生态功能）。（3）潜在价值：目前人类不清楚的价值。 3、生长素类似物的应用： （1）促进扦插的枝条生根； （2）促进果实发育（用于培育无籽果实）； （3）防止落花落果，可用于棉花的保蕾保铃； （4）控制性别分化。 【详解】活动能力弱，活动范围小的动物，调查种群密度时，可以采用样方法，A正确；森林和草地对水土的保持作用属于生态功能，体现生物多样性的间接价值，B正确；油菜花期连续阴雨天气，无法正常授粉形成种子，而一定浓度的生长素溶液只能促进果实发育，但是无法促进授粉，C错误；青蛙和蛇可以以害虫为食物，可以通过捕食将害虫控制在最低范畴，这是生物防治，D正确。 【点睛】本题考查了调查种群密度的方法、生物多样性的价值、生长素类似物在农业生产实践中的作用、防治害虫的方法，要求考生了解调查种群密度的方法，识记防虫的方法，掌握生长素在农业生产实践中的相关应用，能结合所学的知识准确判断各选项。
6,某种植物的花色由位于常染色体上的三对独立遗传的基因决定，相关基因、酶以及花色关系如图所示。据此推测下列叙述正确的是（　　） A. 图中基因都是通过控制酶的合成来影响代谢过程，从而控制生物性状的 B. 让白花植株相互杂交，子一代中会有少量的其他花色植株出现 C. 基因型相同的杂合金黄色植株相互杂交，子一代的基因型最多有27种 D. 让白花植株与黄花植株杂交，子代的三种表现型的数量比只存在2种可能,C /n【解析】基因自由组合定律的实质是：控制不同性状的遗传因子的分离和组合是互不干扰的；在形成配子时，决定同一性状的成对的遗传因子彼此分离，决定不同性状的遗传因子自由组合。分析图示可知，白花植株基因型为aa--dd，金黄色植株的基因型为----D-、A-bb--、黄花植株的基因型为A_B_dd。 【详解】由图可知图中D基因不是通过控制酶的合成来影响代谢过程从而控制生物性状的，A错误；让白花植株（aa--dd）相互杂交，子一代中全为白花，不会出现其他花色植株，B错误；根据图解可知金黄色植株的大致的基因型为----D-、A-bb--，基因型相同的杂合金黄色植株相互交配，如aabbDd×aabbDd的子一代基因型最少，有3种，而AaBbDd×AaBbDd的子一代的基因型最多，有27种，C正确；让白花植株（基因为aa--dd）与黄花植株（基因为A-bbdd）杂交，存在多种情况的杂交，即aaBBdd×AAbbdd，aaBBdd×Aabbdd，aaBbdd×AAbbdd，aaBbdd×Aabbdd，aabbdd×AAbbdd，aabbdd×Aabbdd，子代不会出现三种表现型，即不会金黄色，D错误。 【点睛】本题以控制花色的相关基因、酶以及花色关系图解为载体，考查基因对性状的控制、基因自由组合定律的应用等相关知识，考生可先根据图解写出各种花色的相关基因型，然后结合题目内容和所学知识对各选项做出准确判断。 2020年高考生物选择题专项训练（10）
1,下列关于细胞结构和功能的叙述，正确的是  （    ） A. 洋葱根尖分生区细胞有中心体，与细胞有丝分裂有关 B. 浆细胞合成的抗体通过载体蛋白运输到细胞外 C. 原核细胞没有核膜，转录和翻译在细胞质中进行 D. 人体神经元有树突和轴突，一个神经元能完成完整的反射活动,C /n【解析】中心体存在于动物和低等植物细胞中；物质出入细胞的方式有跨膜运输和非跨膜运输，跨膜运输包括主动运输和被动运输，被动运输又分自由扩散和协助扩散，非跨膜运输包括胞吐和胞吞，依赖于膜的流动性；原核细胞没有核膜包围的细胞核，转录形成的信使RNA，直接与核糖体结合，转录和翻译在细胞质中进行；反射弧由感受器、传入神经、神经中枢、传出神经和效应器组成，反射活动需要经过完整的反射弧来实现，一个完整的反射至少都要两个或两个以上的神经元才能完成。 【详解】A. 洋葱根尖分生区细胞中没有中心体，A错误； B. 浆细胞分泌抗体属于胞吐，需要消耗能量，不需要载体蛋白，B错误； C. 原核细胞没有核膜，转录和翻译的场所都在细胞质，C正确； D. 一个神经元不能完成完整的反射活动，D错误。
2,为研究两种植物激素对某禾谷类植物生长的影响，将其幼苗分别置于不同条件下培养，一段时间后，观察并测定株高变化，结果如下表。下列分析错误的是  （    ） A. 0.5g·L-1的生长素对该禾谷类植物生长有抑制作用 B. 0.1mg·L-1的油菜素对该禾谷类植物生长有促进作用 C. 清水组的禾谷类植物受自身合成的生长素的调节 D. 0.1mg·L-1油菜素可增强生长素对该禾谷类植物生长的抑制作用,D /n【解析】根据表格可知，清水组中株高为11.2cm，0.5g?L-1的生长素组株高为10.9cm，故该浓度下对植物的生长起抑制作用；依次分析可知，0.1mg?L-1的油菜素组为促进作用，0.5g?L-1的生长素+0.1mg?L-1的油菜素组为促进作用。 【详解】A. 据表格数据可知，0.5g?L-1的生长素对该禾谷类植物生长有抑制作用，A正确； B. 与对照组相比，0.1mg?L-1的油菜素对该禾谷类植物生长有促进作用，B正确； C. 与0.5g?L-1的生长素组相比，清水组株高更高，说明清水组的禾谷类植物受自身合成的生长素的调节，C正确； D. 0.5g?L-1的生长素对植物的生长起抑制作用，0.5g?L-1的生长素+0.1mg?L-1的油菜素组为促进作用，故0.1mg?L-1油菜素可减弱生长素对该禾谷类植物生长的抑制作用，D错误。
3,某种鳗俪在淡水中生长，到海洋中产卵。鳗俪进入海水后，吞饮海水，Na+进入血液，通过鳃上皮细胞排出。洄游到淡水时，不再吞饮水。图示鳃上皮细胞的Na+-K+-ATP酶活性和Na+排出量的变化。下列分析错误的是  （    ） A. 鳗俪吞饮海水后，使细胞外液渗透压升高 B. Na+排出量与Na+-K+-ATP酶活性正相关 C. 在淡水中鳃上皮细胞Na+-K+-ATP酶活性上升 D. 鳗俪由海水洄游进入淡水，尿量增加,C /n【解析】分析题图，在淡水中时， Na+排出量曲线几乎不变，Na+-K+-ATP酶活性曲线呈下降趋势；在海水中时，Na+排出量与Na+-K+-ATP酶活性曲线变化几乎同步，呈正相关。 【详解】A. 鳗俪吞饮海水后，Na+进入血液，使细胞外液渗透压升高，A正确； B. 据图可知，在海水中，Na+排出量与Na+-K+-ATP酶活性变化曲线几乎同步，两者呈正相关，B正确；C. 据图中曲线，在淡水中鳃上皮细胞Na+-K+-ATP酶活性曲线是下降趋势，说明该酶活性下降，C错误；D. 鳗俪由海水洄游进入淡水，吞饮淡水，会引起细胞外液渗透压降低，尿量增加，D正确。
4,某种水稻体内DI8基因突变成S基因，导致编码的多肽链第90位色氨酸替换为亮氨酸，表现为矮化的突变体水稻。用赤霉素处理这种突变体的幼苗，株高恢复正常。下列叙述正确的是  （    ） A. DI8基因突变成S基因是碱基对的缺失造成的 B. S基因与DI8基因在同源染色体上的位点是一致的 C. 矮化的突变体植株体内缺乏赤霉素和赤霉素受体 D. 株高恢复正常的植株，自交后代仍为株高正常,B /n【解析】根据题意，DI8基因突变成S基因，导致编码的多肽链第90位色氨酸替换为亮氨酸，表现为矮化的突变体水稻，这属于基因突变中的碱基对的替换；当用赤霉素处理后，株高恢复正常，说明赤霉素有促进植株增高的作用，但不改变植物的基因型。 【详解】A. DI8基因突变成S基因属于碱基对的替换，A错误； B. 基因突变的结果是产生原来基因的等位基因，故S基因与DI8基因在同源染色体上的位点是一致的，B正确；C. 该矮化植株幼苗用赤霉素处理后，株高恢复正常，说明矮化的突变体植株体内有乏赤霉素受体，C错误；D. 株高恢复正常的植株，其基因型未变，若突变后的植株为杂合子，则自交后代会发生性状分离，D错误。
5,线粒体中的琥珀酸脱氢酶催化琥珀酸脱氢，脱下的氢可将蓝色的甲烯蓝还原成无色的甲烯白。丙二酸与琥珀酸结构相似，可与琥珀酸脱氢酶结合，但不会脱氢。为探究丙二酸对琥珀酸脱氢反应是否有抑制作用，进行实验设计。下列叙述不合理的是  （    ） A. 实验假设：丙二酸对琥珀酸脱氢反应有抑制作用 B. 实验取材：大白鼠心肌细胞含有较多的线粒体，可从其研磨液中提取琥珀酸脱氢酶 C. 实验分组：对照组加琥珀酸、实验组加丙二酸，两组都加入甲烯蓝和琥珀酸脱氢酶 D. 观察指标：蓝色的甲烯蓝还原成无色的甲烯白时间的长短,C /n【解析】根据题意，实验目的是探究丙二酸对琥珀酸脱氢反应是否有抑制作用，故可假设丙二酸对琥珀酸脱氢反应有抑制作用；由于琥珀酸脱氢酶催化琥珀酸脱氢，脱下的氢可将蓝色的甲烯蓝还原成无色的甲烯白，而丙二酸可与琥珀酸脱氢酶结合，但不会脱氢，故不会使蓝色的甲烯蓝还原成无色的甲烯白，因此可设置两组实验，对照组中加入琥珀酸、丙二酸、甲烯蓝和琥珀酸脱氢酶，实验组中加入琥珀酸、甲烯蓝和琥珀酸脱氢酶，通过比较蓝色的变化程度判断假设是否正确。 【详解】A. 实验可假设丙二酸对琥珀酸脱氢反应有抑制作用，A正确；B. 线粒体中含琥珀酸脱氢酶，故可选择大白鼠心肌细胞，从其研磨液中提取琥珀酸脱氢酶，B正确；C. 对照组和实验组中都要加入琥珀酸，实验组还需加丙二酸，两组都加入甲烯蓝和琥珀酸脱氢酶，C错误；D. 琥珀酸脱氢酶催化琥珀酸脱氢，脱下的氢可将蓝色的甲烯蓝还原成无色的甲烯白，而丙二酸可与琥珀酸脱氢酶结合，但不会脱氢，故不会能蓝色的甲烯蓝还原成无色的甲烯白，因此可通过观察蓝色的甲烯蓝还原成无色的甲烯白时间的长短来判断假设是否正确，D正确。
6,某种遗传病由X染色体上的b基因控制。一对夫妇（XBXb×XBY）生了一个患病男孩（XbXbY）。下列叙述正确的是  （    ） A. 患病男孩同时患有多基因遗传病和染色体异常病 B. 若患病男孩长大后有生育能力，产生含Y精子的比例理论上为1/3 C. 患病男孩的染色体异常是由于母亲减数第一次分裂X染色体未分离导致的 D. 患病男孩的致病基因Xb来自祖辈中的外祖父或外祖母,D /n【解析】一对夫妇（XBXb×XBY）生了一个患病男孩（XbXbY），则推测该男孩患病的原因是母亲产生了异常的卵细胞XbXb，是由于减数第二次分裂姐妹染色单体分离后移向细胞的同一极导致。 【详解】A. 患病男孩同时患有单基因遗传病和染色体异常病，A错误；B. 若患病男孩长大后有生育能力，其产生的配子种类及比例为XbXb：Y：XbY：Xb=1:1:2:2，产生含Y精子的比例理论上为1/2，B错误；C. 患病男孩的染色体异常是由于母亲减数第二次分裂姐妹染色单体分离后移向同一极，C错误；D. 患病男孩的致病基因Xb来自母亲，而母亲的Xb来自该男孩的外祖父或外祖母，D正确。 2020年高考生物选择题专项训练（11）
1,关于酶的叙述，正确的是  （    ） A. 探究酶的高效性时，实验组加酶液、对照组加等量蒸馏水 B. 探究温度对淀粉酶活性的影响时，宜用斐林试剂进行检测 C. 探究pH对酶活性的影响时，底物与酶混合前要调节pH D. 决定呼吸酶的基因是否表达，是判断细胞分化的依据之一,C /n【解析】酶的特性：（1）酶具有高效性：与无机催化剂相比酶具有高效性的特点；（2）专一性：指一种酶只能催化一种或一类反应；（3）需要温和的条件：酶发挥作用需要适宜的温度和pH值，高温、过酸或者过碱都会导致酶失活，低温会抑制酶活性。 【详解】探究酶的高效性实验，实验组加酶液、对照组加无机催化剂，A错误；探究温度对酶活性的影响实验，一般不选择斐林试剂进行检测，因为斐林试剂使用时需要水浴加热，因此影响实验的自变量导致实验结果发生改变，B错误；探究pH对酶活性的影响实验，底物与酶混合前要调节pH，保证混合时酶已经达到所预设的pH值，C正确；呼吸酶基因是否表达，不是判断细胞是否分化的依据之一，因为任何活细胞都能合成呼吸酶，D错误。
2,在细胞有氧呼吸过程中，2，4-二硝基苯酚(DNP)能抑制ATP合成过程，但对水的生成没有影响。下列叙述正确的是  （    ） A. DNP不会影响有氧呼吸的第一阶段 B. DNP主要在线粒体基质中发挥作用 C. DNP作用于肌细胞时，线粒体内膜上散失的热能将增加 D. DNP能抑制人体血液中葡萄糖进入红细胞，进而抑制细胞有氧呼吸过程,C /n【解析】据题意可知，2，4二硝基苯酚(DNP) 对[H]与氧结合形成水的过程没有影响，但能抑制ATP合成，表明DNP影响线粒体内膜的酶催化形成ATP的过程，能量最终以热能形式散失。 【详解】有氧呼吸第一阶段能产生ATP，因此DNP会影响有氧呼吸第一阶段，A错误，根据题意，DNP主要在线粒体内膜中发挥作用，抑制有氧呼吸第三阶段中ATP的合成，B错误；根据题意，DNP作用于组织细胞时，使线粒体内膜的酶无法催化形成ATP，结果以热能形式散失，故线粒体内膜上散失的热能将增加，C正确；根据题意，DNP抑制有氧呼吸第三阶段ATP的合成，而红细胞只进行无氧呼吸，故DNP对葡萄糖进入红细胞过程无影响，D错误。
3,2019年4月发表在《Nature》上的研究成果表明，科学家发现了HIV用于应对免疫系统攻击的、具有三种不同构象的三聚体结构，目前科学家开发的疫苗仅靶向其中一种构象。下列分析正确的是  （    ） A. HIV增殖所需的模板、原料、酶、能量均来自其侵染的T细胞 B. HIV可能通过改变三聚体构象躲避浆细胞和记忆细胞的特异性识别 C. 切断性接触、血液和母婴传播等传播途径是预防艾滋病的唯一措施 D. HIV三聚体结构的发现，为开发有效对抗HIV的疫苗提供了新思路,D /n【解析】关于“艾滋病”，考生可以从以下几方面把握： （1）艾滋病的中文名称是获得性免疫缺陷综合征（AIDS），其病原体是人类免疫缺陷病毒（HIV）。 （2）艾滋病的致病原理：HIV病毒进入人体后，与人体的T淋巴细胞结合，破坏T淋巴细胞，使免疫调节受到抑制，使人的免疫系统瘫痪，最后使人无法抵抗其他细菌、病毒的入侵，让人死亡。 （3）艾滋病的主要传播途径包括：血液传播、性传播、母婴传播。 【详解】HIV增殖所需的模板和逆转录酶来自HIV，增殖所需的原料、酶、能量均来自其侵染的T细胞，A错误；浆细胞没有特异性识别功能，B错误；性接触、血液和母婴传播等是艾滋病的主要传播途径，因此切断这些途径是预防艾滋病的有效措施，但不是唯一措施，C错误；根据题意，科学家开发的疫苗仅靶向其中一种构象，因此HIV三聚体结构的发现，为开发有效对抗HIV的疫苗提供了新思路，D正确。
4,“引来繁华缀满枝，瓜熟蒂落也有时”是多种植物激素相互作用的结果。下列分析错误的是  （    ） A. 高浓度的生长素促进细胞伸长，使植株长高 B. 适当喷洒α-萘乙酸可延长“繁华缀满枝”的时间 C. 适时打顶去心，可使植株多开花多结果 D. 乙烯和脱落酸可协同调节“瓜熟蒂落”的过程,A /n【解析】生长素的生理作用具有两重性，因此高浓度的生长素抑制植株生长，A错误；α-萘乙酸是生长素类似物，具有跟生长素类似的功能，一定浓度也可以防止落花落果，B正确；适时打顶去心，可以解除顶端优势现象，可使植株多开花多结果，C正确；乙烯具有促进果实成熟，脱落酸具有促进叶和果实的衰老和脱落，因此乙烯和脱落酸协同调节了“瓜熟蒂落”过程，D正确。
5,某森林地区U型山谷地表植被遭严重火灾，人工栽种植物(甲坡面)和自然恢复(乙坡面)多年后，前者植被覆盖率和物种数明显大于后者。下列分析正确的是  （    ） A. 人工栽种植物提高了甲坡面生态系统的恢复力稳定性 B. 如果时间允许、气候适宜，两坡面都会演替到森林阶段 C. 随时间推移，群落中先存在的物种会被后侵入的物种完全替代 D. 人工栽种植物加速了甲坡面物质和能量的循环利用,B /n【解析】分析题意可知，某森林地区U型山谷地表植被遭严重火灾，经过人工栽种植物(甲坡面)和自然恢复(乙坡面)多年后，前者植被覆盖率和物种数明显大于后者。说明该过程中发生了群落演替现象，且甲坡面植被覆盖率和物种数明显大于乙坡面，说明甲坡面的物种丰富度高，营养结构复杂，则其抵抗力稳定性较强；这也反映出人工栽种植物加速了甲坡面物质的循环利用。 【详解】人为栽种植物提高了甲坡面生态系统的抵抗力稳定性，A错误；如果时间允许、气候适宣，两侧坡面都会演替到森林阶段，B正确；随着时间的推移，生物群落中一些物种侵入，另一些物种消失，群落组成和环境向一定方向产生有顺序的发展变化，称为演替；主要标志为群落在物种组成上发生了变化；或者是在一定区域内一个群落被另一个群落逐步替代的过程；但是并不意味着前一阶段的优势物种彻底消亡，C错误；人工栽种植物加速了甲坡面物质的循环利用，但是能量不能循环，D错误。
6,先天性肌强直(甲病)和卡尔曼综合征(乙病)都是单基因遗传病。已知在人群中甲病的发病率为4％，调查发现以下两个家系中都有甲病和乙病患者，且I3不含乙病的致病基因。下列说法错误的是  （    ） A. 研究乙病的发病率，应在人群中随机抽样调查 B. 图中III1的患病基因来源于I2 C. 在人群中，某正常男性是甲病携带者的可能性为1／3 D. III2同时患两病的概率为1／36 ,D /n【解析】识图分析可知，系谱图中Ⅰ1与Ⅰ2均表现正常，而子代的Ⅱ1表现为患甲病，故甲病为常染色体隐性遗传病；图中Ⅰ3与Ⅰ4表现正常，而子代Ⅱ6患了乙病，且Ⅰ3不含乙病的致病基因，则乙病为伴X隐性遗传病。假设甲病的基因用A、a表示，控制乙病的基因用B、b表示，由于图中Ⅲ1患了乙病，则Ⅰ1的基因型为AaXBY与Ⅰ2的基因型为AaXBXb，Ⅰ3的基因型为AaXBY与Ⅰ4的基因型为AaXBXb。 【详解】研究乙病的发病率，应在人群中随机抽样调查，且调查的人群数量足够多，A正确；图中Ⅲ1患了乙病，乙病属于伴X隐性遗传病，则Ⅲ1的致病基因由Ⅱ2传递过来的，而Ⅱ2的致病基因来自于Ⅰ2，B正确；甲病为常染色体隐性遗传病，已知在人群中甲病的发病率为4％，即aa%=4％，按照遗传平衡定律，则a%=0.2，那么A%=0.8，AA%=64%，Aa%=32%，在人群中，某正常男性是甲病携带者的可能性为：32%÷（1-4%）=1/3，C正确；根据以上分析可知，Ⅰ1的基因型为AaXBY与Ⅰ2的基因型为AaXBXb，则Ⅱ4的基因型为A＿XBY，Ⅰ3的基因型为AaXBY与Ⅰ4的基因型为AaXBXb，则Ⅱ5的基因型为A＿XBX＿，Ⅱ4与Ⅱ5婚配，那么后代患甲病的概率为：2/3×2/3×1/4=1/9，患乙病的概率为：1/2×1/4=1/8，则子代Ⅲ2同时患两病的概率为：1/9×1/8=1/72，D错误。 2020年高考生物选择题专项训练（12）
1,下列是与蛋白质、核酸相关的一些描述，其中正确的是  （    ） A. 核酸均可携带遗传信息，但只有DNA是生物的遗传物质 B. 核酸中的N存在于碱基中，蛋白质中的N主要存在于氨基中 C. 氨基酸分子互相结合的方式与mRNA中碱基排列顺序无关 D. 磷酸和五碳糖的连接方式在单链RNA和双链DNA的一条链中是不同的,C /n【解析】细胞类生物都含有DNA和RNA两种核酸，其遗传物质是DNA。核酸的基本组成单位是核苷酸，1分子核苷酸由1分子磷酸、1分子五碳糖和1分子含氮碱基组成。蛋白质的基本组成单位是氨基酸，氨基酸通过脱水缩合反应形成肽键（－CO－NH－），组成蛋白质的氨基酸之间通过肽键连接。 【详解】核酸均能携带遗传信息，有细胞结构的生物遗传物质是DNA，某些病毒的遗传物质是RNA，A错误；核酸中的N存在碱基中，蛋白质中的氮主要存在肽键（－CO－NH－）中， B错误；氨基酸分子之间以脱水缩合的方式互相结合，与mRNA中碱基排列顺序无关，C正确；磷酸和五碳糖的连接方式在单链RNA和双链DNA的一条链中是相同的，D错误；故选C。
2,下列有关真核细胞的物质合成及功能的叙述，错误的是  （    ） A. 在分化程度不同的活细胞中可合成同一种酶 B. T细胞产生的淋巴因子可促进浆细胞的增殖分化 C. 有些突触后膜所在的神经元也具有释放神经递质的能力 D. 胰岛素是在胰岛B细胞中以mRNA为直接模板合成的,B /n【解析】分析：细胞的结构是与功能相适应的，不同的结构具有不同的功能；不同功能的细胞是基因选择性表达的结果；分化能力越强的细胞，分裂能力越弱，但是具备了相应的生理功能。 详解：在分化程度不同的活细胞中可合成同一种酶，如呼吸酶，A正确；浆细胞是高度分化的细胞，可以分泌抗体，但是没有增殖的能力，B错误；有些突触后膜所在的神经元是下一个神经元的突触前神经元，因此也具有释放神经递质的能力，C正确；胰岛素的本质是蛋白质，是胰岛B细胞中以相关mRNA为直接模板合成的，D正确。 点睛：解答本题的关键是了解细胞的分化程度与分裂能力之间关系，明确高度分化的细胞具有相应的生理功能，但是没有分裂能力。
3,生命系统的各个层次都普遍存在着稳态现象，下列有关叙述错误的是  （    ） A. 生物膜主要通过主动运输的方式来满足生命活动的需要 B. 人体仅通过消化、呼吸、循环、泌尿四个系统的协调活动就可以维持内环境的稳态 C. 卧龙自然保护区中的大熊猫的数量经过一定时间的增长后在K值上下波动 D. 生物多样性对维持生态系统的稳定性具有重要作用，体现了其间接价值,B /n【解析】本题考点较为综合，涉及物质跨膜运输的方式、内环境稳态、种群数量变化、生物多样性等知识点，旨在考查考生理解能力与综合运用能力。 【详解】主动运输能够保证细胞按照生命活动的需要，选择性吸收物质，A正确；内环境稳态是在神经、体液和免疫调节的共同作用下，通过机体的各器官，系统的分工合作，协调统一而实现的，B错误； 在一个资源空间有限的环境中，种群经过一定时间的增长后，数量趋于相对稳定，并在环境容纳量上下波动，C正确；生物多样性对维持生态系统稳定性具有重要作用，体现了其间接价值，D正确。 【点睛】环境容纳量也可用K值表示，它不是固定不变的 ：（1）同一种生物的K值不是固定不变的，会受到环境的影响，在环境不遭受破坏的情况下，种群数量会在K值附近上下波动。（2）当环境遭受破坏时，K值下降；当生物生存环境改善时，K值上升。
4,下列关于生命系统中的信息传递的叙述，正确的是  （    ） A. 细胞内的遗传信息传递方式:DNARNA蛋白质（性状） B. 细胞间通过激素、神经递质实现其全部信息传递 C. 在兔→狐过程中，物质、能量从兔到狐单向传递，而信息却是双向传递的 D. 生态系统中信息传递发生在同种生物或不同种生物之间，并能调节种间关系,C /n【解析】分析：细胞生物中遗传信息可以从DNA流向DNA，也可以从DNA流向RNA，进而流向蛋白质，在某些病毒中遗传信息可以从RNA流向RNA以及从RNA流向DNA。细胞间的信息交流主要有三种方式：①通过化学物质来传递信息，如激素；②通过细胞膜直接接触传递信息，如精卵识别；③通过细胞通道来传递信息，如高等植物细胞之间通过胞间连丝相互连接。生态系统中信息的类型包括物理信息、化学信息、行为信息，信息传递在生态系统中的作用主要体现在以下三方面：生态系统中生命活动的正常进行，离不开信息的作用；生物种群的繁衍，也离不开信息的传递；信息还能够调节生物的种间关系，维持生态系统稳定。 详解：A. 生物体细胞中，传递遗传信息传递途径有DNA→DNA即DNA的复制，也有DNA→RNA→蛋白质即转录和翻译，A错误；B. 细胞间的信息传递，除了通过激素，神经递质外，还可通过细胞膜上的糖蛋白传递信息，植物细胞间还可以形成胞间连丝实现信息传递，B错误； C. 物质和能量沿食物链单向传递，捕食过程中捕食者和被捕食者之间的信息传递是双向的，如狼可根据兔子留下的气味捕食后者，兔子同样也能依据狼的气味或行为特征躲避捕食，C正确；D. 信息传递既可以发生在生物与生物之间，也可以发生在生物与环境之间，如植物开花需要光信息和日照时间达到一定长度，这些物理信息即来自无机环境，D错误。 点睛：本题考查中心法则及其发展、细胞膜的功能、生态系统中的信息传递，要求考生识记中心法则的主要内容及后人对其进行的补充和完善；同时识记细胞膜的信息交流功能；掌握生态系统中信息传递在生产实践中的应用，能应用所学的知识准确判断各选项。
5,系统素（SYS）是植物体产生的一类生长调节物质，是植物创伤反应的信号分子，可以诱导抗逆基因的表达。SYS在植物体内具有良好的运输性，能很快传遍植株而使之获得抗性。下列叙述正确的是  （    ） A. SYS是由植物体特定内分泌腺产生的 B. SYS可以通过调控细胞基因的表达影响生命活动 C. SYS的运输和生长素一样，具有极性运输的特点 D. SYS是植物体产生的直接杀伤害虫的内源性物质,B /n【解析】根据提题干息分析，系统素（SYS）是一种植物激素，应当符合植物激素的一般的特点，其作用机理是诱导抗逆基因表达，从而使得植物具有抗逆性。 【详解】植物没有内分泌腺，其激素是由特定部位的细胞产生的，A错误；SYS是植物体产生的一类生长调节物质，可以通过调控细胞基因的表达影响生命活动，B正确；SYS在植物体内具有良好的运输性，能很快传遍植株，说明其运输没有极性运输的特点，C错误；SYS是植物创伤反应的信号分子，可以诱导抗逆基因的表达，而不是直接杀伤害虫，D错误。 【点睛】解答本题的关键是分析题干、获取信息的能力，要能够从题文中获取其运输的方式以及作用的机理，进而做出正确的判断。
6,图表示温室鱼—菜互生种植养殖系统，该系统通过巧妙设计，以水为媒，实现了“养鱼不换水，种菜不用土和肥”的鱼—菜互生良性循环。下列叙述错误的是  （    ） A. 蔬菜种植可以为鱼类养殖提供净化水和氧气 B. 鱼类的残饵、粪便等被微生物分解后可作为蔬菜的营养成分 C. 输入该系统太阳能的总量远远小于输出该系统的能量 D. 该系统物质能够自给自足，从而提高了自身的稳定性 ,D /n【解析】读题可知，“鱼菜共生”型农业模式是一种物质循环利用，生态可持续的农业模式，减少了农业废弃物的产生，实现了能量的多级利用，大大提高了能量利用率。 【详解】Ａ、由图可知，水在蔬菜和鱼塘之间循环流动，蔬菜可以利用水体中的N、P等矿质元素，同时能吸收CO2进行光合作用产生O2，所以蔬菜种植可以为鱼类养殖提供净化水和氧气，A正确；B、鱼类的残饵、粪便等有机物被微生物分解后产生的无机物可作为蔬菜的营养成分，B正确；C、人类对该生态系统利用强度较大，要源源不断的满足人们对鱼、蔬菜等物质的需求，输入该系统太阳能的总量远远小于输出该系统的能量，C正确；D、对人类利用强度较大的生态系统，应实施相应的物质、能量投入，保证生态系统内部结构与功能的协调，故该生态系统不能自给自足，D错误。 2020年高考生物选择题专项训练（13）
